date,value
2010-06-25,0.03359374999999999
2010-06-26,0.11884514435695537
2010-06-27,0.17282191780821915
2010-06-28,0.3122193211488249
2010-06-29,0.010514138817480718
2010-06-30,7.614213197969543e-05
2010-07-01,0.0003076923076923077
2010-07-02,0.002193877551020409
2010-07-03,0.0005235602094240838
2010-07-04,0.0011559139784946236
2010-07-05,0.05989664082687337
2010-07-06,0.12963636363636363
2010-07-07,0.05268041237113401
2010-07-08,0.22275949367088588
2010-07-09,0.2580535279805354
2010-07-10,0.006657894736842101
2010-07-11,0.0471195652173913
2010-07-12,0.2501240694789083
2010-07-13,0.07082474226804128
2010-07-14,0.07111392405063292
2010-07-15,0.2209701492537314
2010-07-16,0.2797455470737913
2010-07-17,0.0028954423592493297
2010-07-18,0.04620596205962059
